,Map,Team 1 ID,Team 2 ID,score_diff,winner
25913,Overpass,7533,5988,10,7533
25914,Mirage,7533,5988,7,7533
25917,Train,7557,6710,4,7557
25918,Cobblestone,7557,6710,-4,6710
25919,Inferno,7010,7557,2,7010
25920,Cobblestone,7010,7557,10,7010
25924,Cache,6615,6431,12,6615
25925,Cobblestone,6615,6431,11,6615
25931,Train,5310,7175,10,5310
25933,Train,6134,4411,-2,4411
25934,Overpass,7533,6665,12,7533
25937,Mirage,7175,5310,4,7175
25939,Cache,4411,6134,4,4411
25940,Nuke,6665,7533,5,6665
25942,Mirage,5378,4991,11,5378
25943,Mirage,7532,4688,8,7532
25944,Mirage,6902,7020,-4,7020
25945,Train,4991,5378,14,4991
25955,Cache,5991,6902,4,5991
25956,Train,5991,6902,9,5991
25959,Train,5310,7175,10,5310
25961,Train,6134,4411,-2,4411
25962,Overpass,7533,6665,12,7533
25965,Mirage,7175,5310,4,7175
25967,Cache,4411,6134,4,4411
25968,Nuke,6665,7533,5,6665
25970,Mirage,5378,4991,11,5378
25971,Mirage,7532,4688,8,7532
25972,Mirage,6902,7020,-4,7020
25973,Train,4991,5378,14,4991
25983,Cache,5991,6902,4,5991
25984,Train,5991,6902,9,5991
25997,Inferno,7010,5973,11,7010
25998,Cobblestone,7010,5973,-4,5973
25999,Cache,7010,5973,7,7010
26000,Cache,4643,6301,6,4643
26001,Mirage,4643,6301,2,4643
26002,Cobblestone,7533,5991,2,7533
26003,Cobblestone,4674,4494,-9,4494
26004,Cache,7532,7157,2,7532
26005,Nuke,5991,7533,-3,7533
26008,Train,7331,6902,-3,6902
26009,Inferno,7175,6665,-9,6665
26010,Mirage,4991,4608,4,4991
26011,Nuke,4494,4674,-6,4674
26012,Nuke,6665,7175,6,6665
26014,Train,4608,4991,9,4608
26019,Overpass,7010,6386,5,7010
26020,Nuke,7557,6290,-6,6290
26021,Cobblestone,6386,7010,-2,7010
26022,Cobblestone,6290,7557,3,6290
26025,Cache,6137,6736,7,6137
26028,Nuke,7104,5973,-13,5973
26029,Overpass,5973,7104,5,5973
26031,Cobblestone,6736,6137,-10,6137
26036,Cobblestone,4991,4688,5,4991
26037,Cache,4991,4688,4,4991
26040,Overpass,7533,7157,7,7533
26041,Mirage,7533,7157,7,7533
26054,Cobblestone,6615,5974,-9,5974
26055,Cache,6615,5974,-2,5974
26056,Mirage,6211,6710,13,6211
26057,Cobblestone,6211,6710,13,6211
26067,Cobblestone,7533,5991,2,7533
26068,Cobblestone,4674,4494,-9,4494
26069,Cache,7532,7157,2,7532
26070,Nuke,5991,7533,-3,7533
